"","gender","age_group","education","familiarity","q"
"128","Male","Adults","college_educated","No",1.38461538461538
"129","Male","Adults","college_educated","Yes",1
"130","Female","Youths","college_educated","No",0.692307692307692
"131","Female","Adults","college_educated","No",0.692307692307692
"132","Male","Adults","college_educated","No",0.692307692307692
"133","Male","Youths","college_educated","No",1.92307692307692
"134","Male","Elderly","college_educated","No",0.692307692307692
"135","Female","Elderly","college_educated","No",1.38461538461538
"136","Male","Elderly","college_educated","Yes",1.76923076923077
"137","Male","Elderly","college_educated","Yes",2.07692307692308
"138","Male","Youths","college_educated","No",1
"139","Male","Youths","college_educated","No",1.07692307692308
"140","Male","Youths","college_educated","No",0.461538461538462
"141","Male","Youths","college_educated","No",1.61538461538462
"142","Male","Adults","college_educated","No",1
"143","Male","Adults","college_educated","No",1.61538461538462
"144","Male","Adults","college_educated","No",2.61538461538462
"145","Male","Adults","college_educated","No",1.46153846153846
"146","Male","Adults","college_educated","No",3.30769230769231
"147","Female","Adults","college_educated","No",1.61538461538462
"148","Female","Adults","college_educated","No",1.84615384615385
"149","Female","Elderly","college_educated","Yes",1.53846153846154
"150","Male","Adults","college_educated","No",1.30769230769231
"151","Female","Youths","college_educated","No",2.76923076923077
"152","Male","Elderly","college_educated","Yes",2.92307692307692
"153","Female","Youths","college_educated","No",1.84615384615385
"154","Female","Adults","college_educated","No",1.84615384615385
"155","Male","Youths","college_educated","No",0.615384615384615
"156","Female","Elderly","college_educated","No",2.30769230769231
"157","Male","Adults","college_educated","No",1.15384615384615
"158","Female","Adults","college_educated","No",0.923076923076923
"159","Male","Youths","college_educated","No",0.692307692307692
"160","Male","Elderly","college_educated","Yes",1.07692307692308
"161","Male","Youths","college_educated","No",0.769230769230769
"162","Male","Adults","college_educated","Yes",1.38461538461538
"163","Male","Adults","college_educated","Yes",1.23076923076923
"164","Female","Youths","college_educated","No",1.23076923076923
"165","Male","Adults","college_educated","Yes",0.769230769230769
"166","Male","Elderly","college_educated","No",2.38461538461538
"167","Male","Adults","college_educated","No",0.923076923076923
"168","Male","Youths","No_college","No",2.07692307692308
"169","Male","Youths","college_educated","No",1.84615384615385
"170","Male","Elderly","college_educated","Yes",0.769230769230769
"171","Male","Youths","college_educated","No",1.53846153846154
"172","Female","Youths","college_educated","No",1.46153846153846
"173","Female","Youths","college_educated","No",0.230769230769231
"174","Male","Youths","college_educated","No",2.92307692307692
"175","Male","Adults","college_educated","No",0.615384615384615
"176","Male","Adults","college_educated","No",2.76923076923077
"177","Male","Youths","college_educated","No",1
"178","Male","Elderly","college_educated","No",1.23076923076923
"179","Female","Adults","college_educated","Yes",1.84615384615385
"180","Male","Adults","college_educated","Yes",2.38461538461538
"181","Male","Elderly","college_educated","Yes",0.769230769230769
"182","Male","Elderly","college_educated","No",0.384615384615385
"183","Female","Adults","college_educated","No",0.692307692307692
"184","Male","Adults","college_educated","No",2.23076923076923
"185","Male","Elderly","college_educated","Yes",1.30769230769231
"186","Female","Adults","college_educated","No",0.769230769230769
"187","Male","Elderly","college_educated","No",1.53846153846154
"188","Female","Adults","college_educated","Yes",3.07692307692308
"189","Male","Elderly","college_educated","No",0.615384615384615
"190","Male","Elderly","college_educated","Yes",1.30769230769231
"191","Male","Elderly","college_educated","Yes",1.30769230769231
"192","Female","Elderly","college_educated","No",1
"193","Male","Youths","college_educated","No",3
"194","Male","Youths","No_college","No",3.38461538461538
"195","Male","Elderly","college_educated","No",2.30769230769231
"196","Female","Adults","college_educated","No",1.23076923076923
"197","Male","Adults","college_educated","Yes",0.692307692307692
"198","Male","Adults","college_educated","No",1.38461538461538
"199","Male","Youths","No_college","Yes",3.38461538461538
"200","Male","Elderly","college_educated","No",0.230769230769231
"201","Female","Youths","college_educated","No",3.23076923076923
"202","Female","Youths","college_educated","No",0.692307692307692
"203","Male","Adults","college_educated","No",2.15384615384615
"204","Male","Adults","college_educated","Yes",0.384615384615385
"205","Female","Adults","college_educated","No",0.538461538461538
"206","Male","Adults","college_educated","No",0.307692307692308
"207","Male","Adults","college_educated","No",2.15384615384615
"208","Male","Adults","college_educated","No",3.23076923076923
"209","Male","Youths","college_educated","No",1.38461538461538
